"carrier_name","ave_arrivals","ave_delayed","ave_cancelled","ave_diverted","ave_ontime"
"Comair Inc.",13711,0.382685435052148,863,53,0.617314564947852
"Northwest Airlines Inc.",24635,0.343170286178202,403,88,0.656829713821798
"Atlantic Southeast Airlines",23474,0.341526795603647,788,92,0.658473204396353
"SkyWest Airlines Inc.",44238,0.322731588227316,2067,267,0.677268411772684
"Pinnacle Airlines Inc.",22466,0.305305795424197,1308,122,0.694694204575803
"Frontier Airlines Inc.",83645,0.259740324392285,954.666666666667,131.666666666667,0.740259675607715
"Continental Air Lines Inc.",130981,0.259434398109594,1211,351.5,0.740565601890406
"Envoy Air",292712,0.257410013938615,12798,757,0.742589986061384
"Mesa Airlines Inc.",117875.5,0.248613723647731,3194.5,288.5,0.751386276352269
"JetBlue Airways",236302.25,0.246380746570136,4217.625,612.875,0.753619253429864
